Date,ASEAN_Indonesia_Index,ASEAN_Indonesia_Volume,ASEAN_Thailand_Index,ASEAN_Thailand_Volume,ASEAN_Malaysia_Index,ASEAN_Malaysia_Volume,ASEAN_Philippines_Index,ASEAN_Philippines_Volume,ASEAN_Singapore_Index,ASEAN_Singapore_Volume,Global_S&P500_Index,Global_S&P500_Volume,Global_NASDAQ_Index,Global_NASDAQ_Volume,Global_DOW_Index,Global_DOW_Volume,Global_FTSE_Index,Global_FTSE_Volume,Global_DAX_Index,Global_DAX_Volume,Global_CAC40_Index,Global_CAC40_Volume,Global_NIKKEI_Index,Global_NIKKEI_Volume,Global_HSI_Index,Global_HSI_Volume,Global_CSI300_Index,Global_CSI300_Volume,Global_KOSPI_Index,Global_KOSPI_Volume,Global_ASX200_Index,Global_ASX200_Volume,Global_SENSEX_Index,Global_SENSEX_Volume,ETF_Indonesia,ETF_Indonesia_Volume,ETF_Thailand,ETF_Thailand_Volume,ETF_Malaysia,ETF_Malaysia_Volume,ETF_Philippines,ETF_Philippines_Volume,ETF_Singapore,ETF_Singapore_Volume,ETF_Vietnam,ETF_Vietnam_Volume,Currency_Indonesia,Currency_Thailand,Currency_Malaysia,Currency_Philippines,Currency_Singapore,Currency_Vietnam,Currency_Euro,Currency_GBP,Currency_JPY,Currency_CNY
2017-01-26 00:00:00+00:00,5317.6328125,190768100.0,1591.0,10706400.0,1692.219970703125,133430800.0,7330.7548828125,148200.0,3051.780029296875,0.0,2296.679931640625,3611510000.0,5655.18017578125,1837020000.0,20100.91015625,356730000.0,7161.5,905662800.0,11848.6298828125,90690800.0,4867.240234375,94017900.0,19402.390625,145200000.0,23374.169921875,1856554500.0,,,2083.590087890625,257900.0,5671.5,0.0,27708.140625,12200.0,20.596912384033203,508900.0,62.023075103759766,93100.0,22.086139678955078,511000.0,31.763734817504883,121600.0,15.740537643432617,453900.0,12.365803718566895,176900.0,13316.0,35.189998626708984,4.427499771118164,49.52000045776367,1.4131799936294556,22327.0,1.0751993656158447,1.2634079456329346,113.29299926757812,6.873600006103516
2017-01-27 00:00:00+00:00,5312.83984375,142739500.0,1590.800048828125,7893000.0,1686.3599853515625,96155000.0,7331.78466796875,150000.0,3064.85009765625,0.0,2294.68994140625,3137420000.0,5660.77978515625,1669190000.0,20093.779296875,343130000.0,7184.5,876491800.0,11814.26953125,71214800.0,4839.97998046875,79429000.0,19467.400390625,134600000.0,23360.779296875,777897700.0,,,2083.590087890625,257900.0,5714.0,0.0,27882.4609375,14300.0,20.622234344482422,459200.0,61.99032211303711,76900.0,22.03362464904785,533500.0,31.818777084350586,108700.0,15.718684196472168,500600.0,12.365803718566895,95300.0,13387.0,35.29999923706055,4.430099964141846,49.65599822998047,1.4263499975204468,22210.0,1.068296194076538,1.2595410346984863,114.45500183105469,6.878399848937988
2017-01-30 00:00:00+00:00,5302.662109375,193337900.0,1590.56005859375,8167400.0,1686.3599853515625,96155000.0,7334.82373046875,79500.0,3064.85009765625,0.0,2280.89990234375,3595040000.0,5613.7099609375,1782380000.0,19971.130859375,317280000.0,7118.5,890006700.0,11681.8896484375,75301200.0,4784.64013671875,83384600.0,19368.849609375,97800000.0,23360.779296875,777897700.0,,,2083.590087890625,257900.0,5661.5,0.0,27849.560546875,8600.0,20.639118194580078,716800.0,62.129459381103516,142000.0,22.018619537353516,808700.0,31.89217758178711,108200.0,15.835227966308594,443600.0,12.338587760925293,86800.0,13326.0,35.237998962402344,4.43120002746582,49.638999938964844,1.4284100532531738,22139.0,1.0713980197906494,1.2591921091079712,114.66799926757812,6.882999897003174
2017-01-31 00:00:00+00:00,5294.10302734375,191451600.0,1577.31005859375,9056100.0,1671.5400390625,125983400.0,7227.8017578125,112000.0,3046.800048828125,0.0,2278.8701171875,4089730000.0,5614.7900390625,2047460000.0,19864.08984375,373750000.0,7099.2001953125,959011000.0,11535.3095703125,97413600.0,4748.89990234375,98487800.0,19041.33984375,133900000.0,23360.779296875,777897700.0,,,2067.570068359375,288300.0,5620.89990234375,0.0,27655.9609375,10700.0,20.605356216430664,727400.0,61.93306350708008,298600.0,21.913589477539062,651900.0,31.451786041259766,155300.0,15.857080459594727,696600.0,12.302298545837402,106000.0,13338.0,35.189998626708984,4.427199840545654,49.67499923706055,1.4202100038528442,22132.0,1.0708587169647217,1.25,113.6500015258789,6.88070011138916
2017-02-01 00:00:00+00:00,5327.1611328125,256731400.0,1576.3199462890625,10288300.0,1671.5400390625,125983400.0,7225.59228515625,89800.0,3067.489990234375,0.0,2279.550048828125,3919190000.0,5642.64990234375,2239570000.0,19890.939453125,426670000.0,7107.7001953125,785299200.0,11659.5,94496600.0,4794.580078125,97905700.0,19148.080078125,131500000.0,23318.390625,1515037600.0,,,2080.47998046875,452500.0,5653.2001953125,0.0,28141.640625,18200.0,20.672882080078125,609600.0,61.8266716003418,223800.0,21.87607765197754,775900.0,31.442609786987305,156500.0,15.893501281738281,1046800.0,12.447458267211914,125100.0,13345.0,35.099998474121094,4.427700042724609,49.62099838256836,1.4095499515533447,22298.0,1.0803803205490112,1.2589701414108276,112.74299621582031,6.878699779510498
2017-02-02 00:00:00+00:00,5353.712890625,165664500.0,1572.6700439453125,9198000.0,1673.47998046875,163820700.0,7224.052734375,120500.0,3044.080078125,0.0,2280.85009765625,3809760000.0,5636.2001953125,2077010000.0,19884.91015625,347220000.0,7140.7998046875,880030800.0,11627.9501953125,97613900.0,4794.2900390625,98607300.0,18914.580078125,136500000.0,23184.51953125,987795900.0,,,2071.010009765625,825500.0,5645.39990234375,0.0,28226.609375,17200.0,20.867036819458008,474000.0,61.761199951171875,115000.0,21.9435977935791,340400.0,31.5618839263916,58300.0,15.900781631469727,623000.0,12.402093887329102,134600.0,13360.0,35.11000061035156,4.421999931335449,49.68000030517578,1.4130699634552002,22640.0,1.0767391920089722,1.2661433219909668,113.31099700927734,6.880899906158447
2017-02-03 00:00:00+00:00,5360.76708984375,13055400.0,1582.949951171875,9835600.0,1685.010009765625,131180600.0,7224.84228515625,140200.0,3041.93994140625,0.0,2297.419921875,3605970000.0,5666.77001953125,1792330000.0,20071.4609375,344220000.0,7188.2998046875,786535500.0,11651.490234375,80185400.0,4825.419921875,80815700.0,18918.19921875,140900000.0,23129.2109375,1339282100.0,,,2073.159912109375,392600.0,5621.60009765625,0.0,28240.51953125,10800.0,21.035860061645508,843100.0,62.52227783203125,233500.0,22.10114288330078,578200.0,31.57105827331543,125800.0,15.966338157653809,501800.0,12.402093887329102,200700.0,13346.0,35.06999969482422,4.42549991607666,49.7599983215332,1.411929965019226,22137.0,1.0761713981628418,1.2520031929016113,112.78900146484375,6.880000114440918
2017-02-06 00:00:00+00:00,5395.9951171875,153355200.0,1589.1300048828125,10519700.0,1691.239990234375,111417700.0,7292.52490234375,165300.0,3056.909912109375,0.0,2292.56005859375,3112390000.0,5663.5498046875,1736140000.0,20052.419921875,281720000.0,7172.2001953125,614802900.0,11509.83984375,92395100.0,4778.080078125,76878800.0,18976.7109375,120500000.0,23348.240234375,1439947300.0,,,2077.659912109375,315300.0,5615.60009765625,0.0,28439.279296875,10000.0,21.027421951293945,379400.0,62.571372985839844,103100.0,22.071138381958008,358300.0,31.70868682861328,21300.0,15.929917335510254,336200.0,12.393022537231445,155600.0,13338.0,35.00600051879883,4.427499771118164,49.63800048828125,1.4080499410629272,22196.0,1.0782949924468994,1.2484238147735596,112.63899993896484,6.872200012207031
2017-02-07 00:00:00+00:00,5381.47509765625,171422900.0,1582.52001953125,9813200.0,1688.8399658203125,109817600.0,7260.77294921875,118800.0,3071.639892578125,0.0,2293.080078125,3452460000.0,5674.22021484375,1922030000.0,20090.2890625,279670000.0,7186.2001953125,770251300.0,11549.4404296875,70078100.0,4754.47021484375,83945400.0,18910.779296875,106100000.0,23331.5703125,1523355600.0,,,2075.2099609375,271800.0,5621.89990234375,0.0,28335.16015625,10800.0,20.959888458251953,497800.0,62.27675247192383,97600.0,21.958600997924805,469100.0,31.387557983398438,228500.0,15.886214256286621,290400.0,12.420241355895996,187100.0,13326.0,34.99700164794922,4.434500217437744,49.47999954223633,1.4101799726486206,22210.0,1.0743216276168823,1.2468360662460327,111.8270034790039,6.86359977722168
2017-02-08 00:00:00+00:00,5361.087890625,325033400.0,1589.2900390625,11618600.0,1688.5,147374200.0,7232.9599609375,137100.0,3066.530029296875,0.0,2294.669921875,3611950000.0,5682.4501953125,1947100000.0,20054.33984375,280410000.0,7188.7998046875,935233800.0,11543.3798828125,95316900.0,4766.60009765625,102120800.0,19007.599609375,102900000.0,23485.130859375,2601105500.0,,,2065.080078125,266700.0,5651.39990234375,0.0,28289.919921875,10900.0,20.96833038330078,376500.0,62.759586334228516,129800.0,22.0261173248291,267600.0,31.29581069946289,37700.0,15.893501281738281,352700.0,12.438385963439941,168800.0,13310.0,35.02000045776367,4.4375,49.61899948120117,1.4184000492095947,22183.0,1.0678056478500366,1.2496250867843628,112.38700103759766,6.884500026702881
