,ETF_Indonesia,ETF_Thailand,ETF_Malaysia,ETF_Philippines,ETF_Singapore,ETF_Vietnam
ETF_Indonesia,1.0,0.6420517721273361,0.6481653942044469,0.6286749455054762,0.65144294337415,0.4624185068138278
ETF_Thailand,0.6420517721273361,1.0,0.6611261420281486,0.6310704913785634,0.6419516967031201,0.47365356237570305
ETF_Malaysia,0.6481653942044469,0.6611261420281486,1.0,0.6310933356013766,0.648563566548573,0.45046556640434926
ETF_Philippines,0.6286749455054762,0.6310704913785634,0.6310933356013766,1.0,0.5734624633813655,0.43142270167332225
ETF_Singapore,0.65144294337415,0.6419516967031201,0.648563566548573,0.5734624633813655,1.0,0.4772027718223485
ETF_Vietnam,0.4624185068138278,0.47365356237570305,0.45046556640434926,0.43142270167332225,0.4772027718223485,1.0
