,Annual_Return,Volatility,Sharpe_Ratio,Max_Drawdown
Indonesia,0.04620534422962087,0.1513418431489931,0.30530448994289444,-0.41135250801844797
Singapore,0.022873741823850657,0.13518190778026043,0.1692071239372665,-0.3822110701330285
Malaysia,-0.0030016036998217763,0.11077385493867893,-0.02709668000164275,-0.35640945127361306
Thailand,0.0005575521644378407,0.1449241616517449,0.0038471995151343197,-0.44291339523497253
Philippines,0.009039456873021358,0.19316688220069475,0.04679610070855534,-0.48961098563002553
