Date,Indonesia_Index,Indonesia_ETF,Singapore_Index,Singapore_ETF,Malaysia_Index,Malaysia_ETF,Thailand_Index,Thailand_ETF,Philippines_Index,Philippines_ETF
2014-12-22,5125.57275390625,22.083938598632812,3330.9599609375,17.622840881347656,1744.050048828125,27.428516387939453,1536.8299560546875,61.525672912597656,7137.4345703125,34.489990234375
2014-12-23,5138.86767578125,22.02640724182129,3332.510009765625,17.528385162353516,1749.050048828125,27.449012756347656,1531.1700439453125,61.25506591796875,7184.47216796875,34.51708221435547
2014-12-24,5166.78173828125,22.35515785217285,,17.636335372924805,1749.739990234375,27.57201385498047,1525.06005859375,61.28599548339844,,34.58932876586914
2014-12-29,5178.17138671875,22.35515785217285,3367.68994140625,17.64982795715332,1768.4100341796875,27.797504425048828,1498.219970703125,59.51529312133789,7228.7109375,34.471923828125
2014-12-30,5226.7431640625,22.45378303527832,3366.110107421875,17.71729850769043,1766.8299560546875,27.859004974365234,1497.6700439453125,59.886436462402344,,34.399681091308594
2015-01-02,5242.56494140625,22.00997543334961,3370.590087890625,17.501394271850586,1752.77001953125,26.998022079467773,,59.198265075683594,,34.41773986816406
2015-01-05,5219.7919921875,21.59081268310547,3328.280029296875,17.123571395874023,1736.6199951171875,26.362533569335938,1483.25,57.55128860473633,7274.75927734375,34.01132583618164
2015-01-06,5168.8583984375,21.57437515258789,3281.949951171875,16.92116355895996,1716.5799560546875,26.116535186767578,1477.5799560546875,57.91472625732422,7275.869140625,34.30033493041992
2015-01-07,5206.9150390625,21.903125762939453,3298.360107421875,17.110082626342773,1709.1800537109375,26.383031845092773,1500.75,60.05655288696289,7307.8212890625,34.78801727294922
2015-01-08,5211.625,21.952438354492188,3345.110107421875,17.46091651916504,1728.06005859375,26.77252769470215,1521.6199951171875,60.89937973022461,7365.73583984375,35.39310073852539
2015-01-09,5216.4619140625,21.886690139770508,3338.43994140625,17.258508682250977,1732.43994140625,26.60852813720703,1529.4200439453125,60.72925567626953,7400.8173828125,35.16731643676758
2015-01-12,5187.7314453125,21.771625518798828,3344.889892578125,17.150558471679688,1735.0799560546875,26.506031036376953,1531.2099609375,60.04882049560547,7356.46826171875,35.0047607421875
2015-01-13,5214.15576171875,21.94422149658203,3341.070068359375,17.177547454833984,1748.9000244140625,26.731525421142578,1534.969970703125,60.34264373779297,7397.09814453125,35.66403579711914
2015-01-14,5159.46728515625,21.697654724121094,3326.159912109375,17.110082626342773,1742.010009765625,26.56752586364746,1523.239990234375,59.86324691772461,7488.9541015625,35.98916244506836
2015-01-15,5188.51025390625,21.820938110351562,3338.840087890625,17.272001266479492,1745.0,26.649532318115234,1523.3800048828125,59.739532470703125,,36.40459442138672
2015-01-16,5148.1787109375,21.977094650268555,3300.679931640625,17.1910400390625,1743.5699462890625,27.244014739990234,1517.739990234375,61.170005798339844,,36.31427764892578
2015-01-19,5151.892578125,,3307.699951171875,,1753.31005859375,,1535.3699951171875,,7483.3955078125,
2015-01-20,5165.888671875,21.919557571411133,3334.02001953125,17.20453643798828,1750.1099853515625,26.731525421142578,1535.0899658203125,61.03855514526367,7450.89404296875,35.96207809448242
2015-01-21,5215.06298828125,22.5441951751709,3354.4599609375,17.339475631713867,1770.0899658203125,27.182518005371094,1537.3599853515625,61.401973724365234,7472.1787109375,36.31427764892578
2015-01-22,5252.978515625,23.234575271606445,3370.2900390625,17.54187774658203,1781.75,27.71550750732422,1560.3399658203125,63.01801681518555,7414.4033203125,36.39555740356445
2015-01-23,5323.67724609375,23.053756713867188,3411.5,17.501394271850586,1803.0799560546875,27.57201385498047,1598.3299560546875,63.0721549987793,7546.98974609375,36.44071960449219
2015-01-26,5259.81884765625,22.774316787719727,3398.52001953125,17.447420120239258,1796.43994140625,27.63351058959961,1588.31005859375,63.404632568359375,7584.7197265625,36.77486801147461
2015-01-27,5276.94384765625,22.519533157348633,3412.199951171875,17.447420120239258,1803.1700439453125,27.367015838623047,1589.81005859375,62.86339569091797,7628.6083984375,36.68455505371094
2015-01-28,5268.64697265625,22.41269302368164,3419.14990234375,17.231521606445312,1795.8800048828125,27.12101936340332,1592.81005859375,62.63911437988281,7659.21044921875,36.60327911376953
2015-01-29,5262.5126953125,22.519533157348633,3419.050048828125,17.433929443359375,1782.1800537109375,27.08002281188965,1586.4000244140625,62.762855529785156,7615.341796875,37.027740478515625
2015-01-30,5289.19775390625,21.870248794555664,3391.199951171875,17.231521606445312,1781.260009765625,26.588024139404297,1581.25,61.78085708618164,7687.93310546875,36.87422180175781
2015-02-02,5276.03076171875,22.141469955444336,3423.35009765625,17.433929443359375,,26.83402442932129,1582.699951171875,62.82470703125,7628.74853515625,37.163204193115234
2015-02-03,5291.51171875,22.601728439331055,3408.02001953125,17.487903594970703,,27.449012756347656,1602.5400390625,63.96134948730469,7611.19287109375,37.09096145629883
2015-02-04,5315.0771484375,22.626384735107422,3417.570068359375,17.487903594970703,1803.02001953125,27.469514846801758,1599.81005859375,63.1417350769043,7714.07666015625,36.95549392700195
2015-02-05,5279.689453125,22.494882583618164,3406.580078125,17.501394271850586,1803.0899658203125,28.02300453186035,1607.9200439453125,64.14691162109375,7672.267578125,37.19933319091797
2015-02-06,5342.30712890625,22.37981414794922,3431.360107421875,17.487903594970703,1809.43994140625,27.797504425048828,1613.6300048828125,63.55154037475586,7726.193359375,37.009681701660156
2015-02-09,5348.26220703125,22.527755737304688,3418.02001953125,17.36646270751953,1811.5799560546875,27.879505157470703,1601.77001953125,63.164920806884766,7780.5693359375,37.23545837402344
